Dataset,Strategy,Train_Class_0,Train_Class_1,Test_Accuracy,F1,Precision,Recall,PR_AUC,ROC_AUC
D1,No Balancing,7360,1840,0.9630434782608696,0.9041713641488163,0.9391100702576113,0.8717391304347826,0.969092285824024,0.9882667769376181
D1,SMOTE,7360,7360,0.9560869565217391,0.8955532574974147,0.854043392504931,0.941304347826087,0.9685385798143139,0.9886625708884689
D1,Undersampling,1840,1840,0.9552173913043478,0.893923789907312,0.8493150684931506,0.9434782608695652,0.9709749564318968,0.9922637051039698
D1,Class Weighting,7360,1840,0.9543478260869566,0.8918640576725025,0.8473581213307241,0.941304347826087,0.9685331053497943,0.9900945179584121
D2,No Balancing,240,80,0.9375,0.8648648648648649,0.9411764705882353,0.8,0.9814790122588111,0.9941666666666666
D2,SMOTE,240,240,0.975,0.95,0.95,0.95,0.9814790122588111,0.9941666666666666
D2,Undersampling,80,80,0.975,0.95,0.95,0.95,0.9867685144233131,0.9958333333333332
D2,Class Weighting,240,80,0.975,0.95,0.95,0.95,0.9814790122588111,0.9941666666666666
D3,No Balancing,1418,1418,0.6633802816901408,0.6176,0.7148148148148148,0.543661971830986,0.7573243097553365,0.7161912318984328
D3,SMOTE,1418,1418,0.6633802816901408,0.6176,0.7148148148148148,0.543661971830986,0.7573243097553365,0.7161912318984328
D3,Undersampling,1418,1418,0.6633802816901408,0.6176,0.7148148148148148,0.543661971830986,0.7573243097553365,0.7161912318984328
D3,Class Weighting,1418,1418,0.6633802816901408,0.6176,0.7148148148148148,0.543661971830986,0.7573243097553365,0.7161912318984328
D3_imb,No Balancing,907,262,0.7781569965870307,0.029850746268656716,1.0,0.015151515151515152,0.24275919777122135,0.5326391670004005
D3_imb,SMOTE,907,907,0.43686006825938567,0.3373493975903614,0.22950819672131148,0.6363636363636364,0.24548224364166865,0.527366172740622
D3_imb,Undersampling,262,262,0.4778156996587031,0.34893617021276596,0.24260355029585798,0.6212121212121212,0.23682021619225202,0.526498464824456
D3_imb,Class Weighting,907,262,0.4402730375426621,0.3543307086614173,0.2393617021276596,0.6818181818181818,0.24617877762159412,0.5331063943398745
