Model,Train_Accuracy,Test_Accuracy,F1,Precision,Recall,PR_AUC,ROC_AUC,Regularization,Strategy
L1+No Balancing,0.7784431137724551,0.7781569965870307,0.029850746268656716,1.0,0.015151515151515152,0.24275919777122135,0.5326391670004005,L1,No Balancing
L1+SMOTE,0.5793825799338479,0.43686006825938567,0.3373493975903614,0.22950819672131148,0.6363636363636364,0.24548224364166865,0.527366172740622,L1,SMOTE
L1+Undersampling,0.5916030534351145,0.4778156996587031,0.34893617021276596,0.24260355029585798,0.6212121212121212,0.23682021619225202,0.526498464824456,L1,Undersampling
L1+Class Weight,0.4550898203592814,0.4402730375426621,0.3543307086614173,0.2393617021276596,0.6818181818181818,0.24617877762159412,0.5331063943398745,L1,Class Weight
L2+No Balancing,0.7784431137724551,0.7747440273037542,0.0,0.0,0.0,0.2480207562833195,0.5355092778000267,L2,No Balancing
L2+SMOTE,0.5793825799338479,0.4539249146757679,0.3442622950819672,0.23595505617977527,0.6363636363636364,0.23698802636451072,0.5304365238285943,L2,SMOTE
L2+Undersampling,0.5820610687022901,0.4880546075085324,0.336283185840708,0.2375,0.5757575757575758,0.2388307722861524,0.5250967828060339,L2,Undersampling
L2+Class Weight,0.4585115483319076,0.43686006825938567,0.35294117647058826,0.23809523809523808,0.6818181818181818,0.2533319613254626,0.5373114403951409,L2,Class Weight
ElasticNet+No Balancing,0.7784431137724551,0.7747440273037542,0.0,0.0,0.0,0.24529663105019897,0.5314377252703244,ElasticNet,No Balancing
ElasticNet+SMOTE,0.577728776185226,0.45051194539249145,0.34285714285714286,0.2346368715083799,0.6363636363636364,0.23669728258168277,0.5286343612334801,ElasticNet,SMOTE
ElasticNet+Undersampling,0.583969465648855,0.4778156996587031,0.3318777292576419,0.2331288343558282,0.5757575757575758,0.23703170876601848,0.5237618475503938,ElasticNet,Undersampling
ElasticNet+Class Weight,0.4576561163387511,0.4402730375426621,0.3543307086614173,0.2393617021276596,0.6818181818181818,0.24687957812194383,0.5323054331864905,ElasticNet,Class Weight
