Dataset,Pipeline,Regularization,Train_Accuracy,Test_Accuracy,F1,Precision,Recall,PR_AUC,ROC_AUC,Sparsity
D1,A,L1 (Lasso),0.8145652173913044,0.8095652173913044,0.0912863070539419,1.0,0.04782608695652174,0.47057976699420107,0.5141127126654064,26.0
D1,A,L2 (Ridge),0.8154347826086956,0.81,0.09523809523809523,1.0,0.05,0.4700937698033249,0.5129123345935728,0.0
D1,A,Elastic Net,0.8147826086956522,0.81,0.09523809523809523,1.0,0.05,0.4706298475512416,0.513843336483932,14.000000000000002
D2,A,L1 (Lasso),0.93125,0.825,0.46153846153846156,1.0,0.3,0.683484393513752,0.6074999999999998,48.0
D2,A,L2 (Ridge),0.940625,0.85,0.5714285714285714,1.0,0.4,0.688235115428653,0.6133333333333333,0.0
D2,A,Elastic Net,0.934375,0.8375,0.5185185185185185,1.0,0.35,0.6839255034719822,0.6099999999999999,22.0
D3,A,L1 (Lasso),0.5927362482369535,0.5112676056338028,0.42070116861435725,0.5163934426229508,0.35492957746478876,0.552236062516458,0.4664153937710772,30.0
D3,A,L2 (Ridge),0.5899153737658674,0.528169014084507,0.45171849427168576,0.5390625,0.38873239436619716,0.55730053096033,0.46993056933148186,0.0
D3,A,Elastic Net,0.5913258110014105,0.5211267605633803,0.4407894736842105,0.5296442687747036,0.37746478873239436,0.5540786027198261,0.467708787938901,24.0
D3_imb,A,L1 (Lasso),0.787852865697177,0.7372013651877133,0.0,0.0,0.0,0.24065371181558579,0.5223601655319717,40.0
D3_imb,A,L2 (Ridge),0.7887082976903336,0.7406143344709898,0.02564102564102564,0.08333333333333333,0.015151515151515152,0.23361509176550063,0.513482846081965,0.0
D3_imb,A,Elastic Net,0.7895637296834902,0.7406143344709898,0.0,0.0,0.0,0.2377982660519775,0.5202910158857296,26.0
D1,B,L1 (Lasso),0.9664130434782608,0.9630434782608696,0.9041713641488163,0.9391100702576113,0.8717391304347826,0.969092285824024,0.9882667769376181,0.0
D1,B,L2 (Ridge),0.9658695652173913,0.9630434782608696,0.9037372593431483,0.9432624113475178,0.8673913043478261,0.969089369746351,0.9884676275992438,0.0
D1,B,Elastic Net,0.9660869565217391,0.9630434782608696,0.9037372593431483,0.9432624113475178,0.8673913043478261,0.9690982622780381,0.988399102079395,0.0
D2,B,L1 (Lasso),0.965625,0.9375,0.8648648648648649,0.9411764705882353,0.8,0.9814790122588111,0.9941666666666666,40.0
D2,B,L2 (Ridge),0.965625,0.9375,0.8648648648648649,0.9411764705882353,0.8,0.9826277276738308,0.9941666666666666,0.0
D2,B,Elastic Net,0.965625,0.9375,0.8648648648648649,0.9411764705882353,0.8,0.984604012258811,0.995,10.0
D3,B,L1 (Lasso),0.6734837799717912,0.6633802816901408,0.6176,0.7148148148148148,0.543661971830986,0.7573243097553365,0.7161912318984328,10.0
D3,B,L2 (Ridge),0.673836389280677,0.6619718309859155,0.6166134185303515,0.7121771217712177,0.543661971830986,0.7570749663525461,0.7161039476294386,0.0
D3,B,Elastic Net,0.673836389280677,0.6633802816901408,0.6176,0.7148148148148148,0.543661971830986,0.7572471413073063,0.7162071017655227,10.0
D3_imb,B,L1 (Lasso),0.7784431137724551,0.7781569965870307,0.029850746268656716,1.0,0.015151515151515152,0.24275919777122135,0.5326391670004005,10.0
D3_imb,B,L2 (Ridge),0.7784431137724551,0.7747440273037542,0.0,0.0,0.0,0.2480207562833195,0.5355092778000267,0.0
D3_imb,B,Elastic Net,0.7784431137724551,0.7747440273037542,0.0,0.0,0.0,0.24529663105019897,0.5314377252703244,10.0
