Dataset,Regularization,Train_Accuracy,Test_Accuracy,F1,Precision,Recall,PR_AUC,ROC_AUC,Sparsity,Non_zero_features
D1,L1 (Lasso),0.8145652173913044,0.8095652173913044,0.0912863070539419,1.0,0.04782608695652174,0.47057976699420107,0.5141127126654064,26.0,37
D1,L2 (Ridge),0.8154347826086956,0.81,0.09523809523809523,1.0,0.05,0.4700937698033249,0.5129123345935728,0.0,50
D1,Elastic Net,0.8147826086956522,0.81,0.09523809523809523,1.0,0.05,0.4706298475512416,0.513843336483932,14.000000000000002,43
D2,L1 (Lasso),0.93125,0.825,0.46153846153846156,1.0,0.3,0.683484393513752,0.6074999999999998,48.0,26
D2,L2 (Ridge),0.940625,0.85,0.5714285714285714,1.0,0.4,0.688235115428653,0.6133333333333333,0.0,50
D2,Elastic Net,0.934375,0.8375,0.5185185185185185,1.0,0.35,0.6839255034719822,0.6099999999999999,22.0,39
D3,L1 (Lasso),0.5927362482369535,0.5112676056338028,0.42070116861435725,0.5163934426229508,0.35492957746478876,0.552236062516458,0.4664153937710772,30.0,35
D3,L2 (Ridge),0.5899153737658674,0.528169014084507,0.45171849427168576,0.5390625,0.38873239436619716,0.55730053096033,0.46993056933148186,0.0,50
D3,Elastic Net,0.5913258110014105,0.5211267605633803,0.4407894736842105,0.5296442687747036,0.37746478873239436,0.5540786027198261,0.467708787938901,24.0,38
D3_imb,L1 (Lasso),0.787852865697177,0.7372013651877133,0.0,0.0,0.0,0.24065371181558579,0.5223601655319717,40.0,30
D3_imb,L2 (Ridge),0.7887082976903336,0.7406143344709898,0.02564102564102564,0.08333333333333333,0.015151515151515152,0.23361509176550063,0.513482846081965,0.0,50
D3_imb,Elastic Net,0.7895637296834902,0.7406143344709898,0.0,0.0,0.0,0.2377982660519775,0.5202910158857296,26.0,37
